"States","population","Litercay Rate","Area","","","","","","","","","","",""
"ANDHRA PRADESH","53,156,000","66.4","162,968","","","","","","","","","","",""
"ARUNACHAL PRADESH","1,562,000","66.95","83,743","","","","","","","","","","",""
"ASSAM","35,713,000","85.9","78,438","","","","","","","","","","",""
"BIHAR","126,756,000","70.9","94,163","","","","","","","","","","",""
"CHHATTISGARH","30,180,000","77.3","130,060","","","","","","","","","","",""
"GOA","1,575,000","87.4","3,702","","","","","","","","","","",""
"GUJARAT","71,507,000","82.4","196,244","","","","","","","","","","",""
"HARYANA","30,209,000","80.4","44,212","","","","","","","","","","",""
"HIMACHAL PRADESH","7,468,000","86.6","55,673","","","","","","","","","","",""
"JAMMU & KASHMIR","13,603,000","77.3","42,241","","","","","","","","","","",""
"JHARKHAND","39,466,000","74.3","79,716","","","","","","","","","","",""
"KARNATAKA","67,692,000","77.2","191,791","","","","","","","","","","",""
"KERALA","35,776,000","96.2","38,852","","","","","","","","","","",""
"MADHYA PRADESH","86,579,000","73.7","308,252","","","","","","","","","","",""
"MAHARASHTRA","126,385,000","84.8","307,713","","","","","","","","","","",""
"MANIPUR","3,223,000","79.85","22,327","","","","","","","","","","",""
"MEGHALAYA","3,349,000","75.48","22,429","","","","","","","","","","",""
"MIZORAM","1,238,000","91.58","21,081","","","","","","","","","","",""
"NAGALAND","2,233,000","80.11","16,579","","","","","","","","","","",""
"ODISHA","46,276,000","77.3","155,707","","","","","","","","","","",""
"PUNJAB","30,730,000","83.7","50,362","","","","","","","","","","",""
"RAJASTHAN","81,025,000","69.7","342,239","","","","","","","","","","",""
"SIKKIM","689,000","82.2","7,096","","","","","","","","","","",""
"TAMIL NADU","76,860,000","82.9","130,060","","","","","","","","","","",""
"TRIPURA","4,147,000","87.75","10,486","","","","","","","","","","",""
"UTTAR PRADESH","235,687,000","87.6","240,928","","","","","","","","","","",""
"UTTARAKHAND","11,637,000","87.6","53,483","","","","","","","","","","",""
"WEST BENGAL","99,084,000","80.5","88,752","","","","","","","","","","",""
"A & N ISLANDS","403,000","86.27","8,249","","","","","","","","","","",""
"CHANDIGARH","1,231,000","86.43","114","","","","","","","","","","",""
"D & N HAVELI","1,263,000","77.65","602","","","","","","","","","","",""
"DELHI UT","21,359,000","87.07","1,483","","","","","","","","","","",""
"LAKSHADWEEP","69,000","92.28","30","","","","","","","","","","",""
"PUDUCHERRY","1,646,000","86.55","490","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
